"YEAR"	"MONTH"	"DAY"	"HOUR"	"MIN"	"SEC"	"FIELDNAME"	"VALUE"
2015	12	11	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.22
2015	12	12	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	4.2
2015	12	13	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.09
2015	12	14	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	1.04
2015	12	15	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	3.76
2015	12	17	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.38
2015	12	18	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.87
2015	12	19	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	6.51
2015	12	20	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.26
2015	12	21	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.04
2015	12	22	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.92
2015	12	23	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	7.93
2015	12	24	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	5.76
2015	12	25	0	0	0	"/1566900619849/LTER_AT/LTER_EU_AT_003/ATZOEAM0939_TEMPMEAN/AM/1/raw"	8.24
